,X,Y,OBJECTID,ADDRTYPE,LOCATION,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,SDOT_COLCODE,ROADCOND
71,-122.3037363,47.60216828,72,Block,22ND AVE BETWEEN E YESLER WAY AND E FIR ST,0,Unknown,,0,0,0,0,0,0,0,2020-02-10 00:00:00+00:00,11.0,
77,-122.3553063,47.69150544,78,Block,GREENWOOD AVE N BETWEEN N 85TH ST AND N 87TH ST,2,Injury Collision,Pedestrian,2,1,0,1,1,0,0,2020-02-22 00:00:00+00:00,24.0,Wet
87,-122.3133881,47.5740945,88,Block,15TH AVE S BETWEEN S HANFORD ST AND S HINDS ST,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020-02-16 00:00:00+00:00,14.0,Wet
88,,,89,,,0,Unknown,,0,0,0,0,0,0,0,2020-02-15 00:00:00+00:00,0.0,
95,-122.3569266,47.63838254,96,Intersection,BOSTON ST AND QUEEN ANNE AVE N,2,Injury Collision,Pedestrian,3,1,0,1,1,0,0,2020-02-19 00:00:00+00:00,24.0,Dry
97,-122.3344369,47.57151424,98,Block,WEST SEATTLE BR EB BETWEEN W SEA BR EB 4 AV OFF RP AND 1ST AV S OFF RP,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2020-02-08 00:00:00+00:00,11.0,Wet
103,-122.369347,47.69135393,104,Block,10TH AVE NW BETWEEN NW 85TH ST AND NW 87TH ST,1,Property Damage Only Collision,,2,0,0,0,0,0,0,2020-02-19 00:00:00+00:00,14.0,
106,-122.3066886,47.68304696,107,Intersection,20TH AVE NE AND NE 75TH ST,2,Injury Collision,,3,0,0,0,1,0,0,2020-02-19 00:00:00+00:00,51.0,
108,-122.3114595,47.61504456,109,Intersection,16TH AVE AND E MADISON ST,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,0,2020-02-08 00:00:00+00:00,11.0,Dry
109,-122.3831991,47.66640927,110,Intersection,BALLARD AVE NW AND NW VERNON PL,0,Unknown,,0,0,0,0,0,0,0,2020-02-16 00:00:00+00:00,11.0,
115,-122.3701042,47.54143442,116,Block,SYLVAN WAY SW BETWEEN HIGH POINT DR SW AND SW SYLVAN HEIGHTS DR,2,Injury Collision,Other,1,0,0,1,1,0,0,2020-02-02 00:00:00+00:00,28.0,Wet
132,-122.2609445,47.52541067,133,Block,ISLAND DR S BETWEEN S CLOVERDALE ST AND DEAD END S,0,Unknown,,0,0,0,0,0,0,0,2020-02-21 00:00:00+00:00,15.0,
134,-122.3115733,47.60042497,135,Block,16TH AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020-02-12 00:00:00+00:00,14.0,Dry
145,-122.31276,47.59749164,146,Intersection,RAINIER AVE S AND S WELLER ST,2,Injury Collision,Angles,2,0,0,2,1,0,0,2020-02-24 00:00:00+00:00,11.0,Dry
147,-122.3433575,47.63762012,148,Intersection,DEXTER AVE N AND DEXTER WAY N,2,Injury Collision,Angles,2,0,0,2,1,0,0,2020-02-15 00:00:00+00:00,11.0,Dry
152,-122.3424249,47.61564896,153,Block,5TH AVE BETWEEN BLANCHARD ST AND BELL ST,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,2020-02-03 00:00:00+00:00,14.0,Dry
156,-122.3422834,47.63369315,157,Block,DEXTER AVE N BETWEEN GARFIELD N ST AND HAYES ST,1,Property Damage Only Collision,Head On,2,0,0,2,0,0,0,2020-02-07 00:00:00+00:00,14.0,Dry
158,-122.334288,47.62469378,159,Intersection,FAIRVIEW AVE N AND MERCER ST,1,Property Damage Only Collision,,2,0,0,0,0,0,0,2020-02-20 00:00:00+00:00,11.0,
162,-122.3672756,47.68693057,163,Intersection,DIBBLE AVE NW AND NW 80TH ST,2,Injury Collision,Angles,2,0,0,2,1,0,0,2020-02-01 00:00:00+00:00,11.0,Wet
163,-122.3288813,47.63030028,164,Block,FAIRVIEW AVE N BETWEEN YALE AVE N AND FAIRVIEW AVE E,2,Injury Collision,Other,1,0,0,1,1,0,0,2020-02-02 00:00:00+00:00,26.0,Wet
172,-122.345027,47.72776725,173,Block,AURORA AVE N BETWEEN N 135TH ST AND N 137TH ST,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,2020-02-19 00:00:00+00:00,14.0,Dry
181,-122.3423716,47.62205575,182,Intersection,DEXTER AVE N AND HARRISON ST,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2020-02-20 00:00:00+00:00,51.0,Dry
183,-122.3232432,47.61062257,184,Block,SUMMIT AVE BETWEEN MADISON ST AND SPRING ST,1,Property Damage Only Collision,Other,2,0,0,2,0,0,0,2020-02-11 00:00:00+00:00,14.0,Dry
187,-122.3236685,47.61192641,188,Block,SENECA ST BETWEEN SUMMIT AVE AND BOYLSTON AVE,1,Property Damage Only Collision,Parked Car,3,0,0,2,0,0,0,2020-02-09 00:00:00+00:00,11.0,Dry
192,-122.3554004,47.62501526,193,Block,1ST AVE N BETWEEN MERCER ST AND ROY ST,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020-02-07 00:00:00+00:00,14.0,Unknown
196,-122.3194468,47.61408516,197,Intersection,10TH AVE AND E PIKE ST,1,Property Damage Only Collision,Sideswipe,3,0,0,2,0,0,0,2020-02-15 00:00:00+00:00,14.0,Wet
201,-122.313751,47.58923404,202,Block,15TH AVE S BETWEEN S ATLANTIC ST AND S MASSACHUSETTS ST,2,Injury Collision,,1,0,0,0,1,0,0,2020-02-14 00:00:00+00:00,14.0,
204,-122.3391056,47.68692612,205,Intersection,ASHWORTH AVE N AND N 80TH ST,2,Injury Collision,Angles,3,0,0,2,1,0,0,2020-02-13 00:00:00+00:00,26.0,Wet
205,-122.3462687,47.62446291,206,Intersection,MERCER ST AND TAYLOR AVE N,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2020-02-14 00:00:00+00:00,11.0,Dry
208,-122.302928,47.58410158,209,Block,23RD AVE S BETWEEN RAINIER AVE S AND S WALKER ST,1,Property Damage Only Collision,Rear Ended,4,0,0,2,0,0,0,2020-02-21 00:00:00+00:00,14.0,Dry
211,-122.3885494,47.58118568,212,Block,SW ADMIRAL WAY BETWEEN 44TH AVE SW AND 45TH AVE SW,2,Injury Collision,Rear Ended,3,0,0,3,1,0,0,2020-02-23 00:00:00+00:00,14.0,Dry
216,-122.3435509,47.65802151,217,Intersection,MIDVALE AVE N AND N 42ND ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2020-02-06 00:00:00+00:00,11.0,Wet
217,-122.3446554,47.70179074,218,Block,AURORA AVE N BETWEEN N 100TH ST AND N 101ST ST,1,Property Damage Only Collision,Sideswipe,3,0,0,2,0,0,0,2020-02-15 00:00:00+00:00,11.0,Dry
225,-122.2925851,47.57105545,226,Intersection,RAINIER AVE S AND S COURT ST,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,0,2020-02-18 00:00:00+00:00,11.0,Dry
234,-122.3327182,47.61694494,235,Intersection,BOREN AVE AND STEWART ST,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,0,2020-02-20 00:00:00+00:00,11.0,Dry
236,-122.3167457,47.6236882,237,Block,12TH AVE E BETWEEN E REPUBLICAN ST AND E MERCER ST,0,Unknown,,0,0,0,0,0,0,0,2020-02-12 00:00:00+00:00,11.0,
239,-122.3167789,47.61156268,240,Intersection,12TH AVE AND E SPRING ST,2,Injury Collision,Pedestrian,2,1,0,1,1,0,0,2020-02-13 00:00:00+00:00,24.0,Dry
240,-122.3552992,47.68621511,241,Intersection,GREENWOOD AVE N AND N 79TH ST,0,Unknown,,0,0,0,0,0,0,0,2020-02-09 00:00:00+00:00,11.0,
246,-122.2672305,47.5268784,247,Block,GRATTAN PL S BETWEEN CLOVERDALE PL S AND 53RD AVE S,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2020-02-22 00:00:00+00:00,28.0,Dry
251,-122.3290546,47.58293662,252,Block,4TH AVE S BETWEEN S WALKER ST AND S STACY ST,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2020-02-17 00:00:00+00:00,11.0,Dry
256,-122.3704948,47.66365748,257,Block,NW LEARY WAY BETWEEN LEARY WAY NW AND 11TH AVE NW,2,Injury Collision,Other,2,0,0,1,1,0,0,2020-02-06 00:00:00+00:00,28.0,Wet
264,-122.3259856,47.57140801,265,Intersection,6TH AVE S AND S SPOKANE SR ST,2,Injury Collision,Angles,3,0,0,2,2,0,0,2020-02-23 00:00:00+00:00,11.0,Dry
267,-122.3411228,47.61487938,268,Block,5TH AVE BETWEEN LENORA ST AND BLANCHARD ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2020-02-19 00:00:00+00:00,14.0,Dry
273,-122.324034,47.62371704,274,Block,BELMONT AVE E BETWEEN E REPUBLICAN ST AND E MERCER ST,0,Unknown,,0,0,0,0,0,0,0,2020-02-02 00:00:00+00:00,11.0,
275,-122.3184261,47.66602744,276,Block,9TH AVE NE BETWEEN NE 50TH ST AND NE 53RD ST,1,Property Damage Only Collision,Left Turn,2,0,0,2,0,0,0,2020-02-14 00:00:00+00:00,11.0,Dry
282,-122.327654,47.61124588,283,Block,UNIVERSITY ST BETWEEN TERRY AVE AND BOREN AVE,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,2020-02-20 00:00:00+00:00,14.0,Dry
285,-122.3173632,47.67456673,286,Block,ROOSEVELT WAY NE BETWEEN NE 63RD ST AND NE 64TH ST,1,Property Damage Only Collision,Sideswipe,5,0,0,2,0,0,0,2020-02-16 00:00:00+00:00,11.0,Dry
291,-122.3130342,47.66749016,292,Block,UNIVERSITY WAY NE BETWEEN NE 52ND ST AND NE 55TH ST,2,Injury Collision,Parked Car,4,0,0,2,1,0,0,2020-02-23 00:00:00+00:00,11.0,Dry
294,-122.342003,47.70504761,295,Intersection,STONE AVE N AND N NORTHGATE WAY,1,Property Damage Only Collision,Angles,10,0,0,2,0,0,0,2020-02-20 00:00:00+00:00,11.0,Dry
296,-122.3780814,47.579277,297,Intersection,37TH AVE SW AND SW LANDER ST,1,Property Damage Only Collision,,3,0,0,0,0,0,0,2020-02-13 00:00:00+00:00,11.0,
299,-122.3918789,47.63231572,300,Intersection,THORNDYKE AVE W AND W GALER ST,1,Property Damage Only Collision,,2,0,0,0,0,0,0,2020-02-13 00:00:00+00:00,11.0,
300,-122.3207536,47.60764594,301,Block,BROADWAY BETWEEN JAMES ST AND CHERRY ST,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020-02-18 00:00:00+00:00,11.0,Dry
306,-122.3168728,47.61643219,307,Intersection,12TH AVE AND E OLIVE ST,2b,Serious Injury Collision,,2,0,0,0,1,0,0,2020-02-13 00:00:00+00:00,24.0,
307,-122.3828165,47.5610581,308,Intersection,40TH AVE SW AND SW ALASKA ST,1,Property Damage Only Collision,Head On,2,0,0,2,0,0,0,2020-02-18 00:00:00+00:00,11.0,Dry
316,-122.3154424,47.66128458,317,Intersection,12TH AVE NE AND NE 45TH ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2020-02-01 00:00:00+00:00,11.0,Wet
323,-122.2844488,47.54358498,324,Block,M L KING JR WR WAY S BETWEEN 38TH AVE S AND S WARSAW ST,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2020-02-18 00:00:00+00:00,26.0,Dry
325,-122.3612154,47.54278914,326,Block,DELRIDGE WAY SW BETWEEN 22ND AVE SW AND SW WILLOW ST,1,Property Damage Only Collision,Parked Car,4,0,0,4,0,0,0,2020-02-22 00:00:00+00:00,16.0,Dry
331,-122.333993,47.70866307,332,Intersection,MERIDIAN AVE N AND N NORTHGATE WAY,1,Property Damage Only Collision,,2,0,0,0,0,0,0,2020-02-10 00:00:00+00:00,14.0,
334,-122.340584,47.62453272,335,Block,MERCER SR ST BETWEEN 8TH AVE N AND 9TH AVE N,2,Injury Collision,Rear Ended,2,0,0,2,1,0,0,2020-02-19 00:00:00+00:00,14.0,Dry
336,-122.3021253,47.60800752,337,Block,E CHERRY ST BETWEEN 23RD AVE AND 24TH AVE,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2020-02-22 00:00:00+00:00,14.0,Dry
341,-122.3134829,47.55234567,342,Block,15TH AVE S BETWEEN S LUCILE ST AND S ORCAS ST,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2020-02-14 00:00:00+00:00,11.0,Dry
343,-122.2604384,47.54766778,344,Block,SEWARD PARK AVE S BETWEEN LAKE SHORE DR S AND S VAN DYKE RD,1,Property Damage Only Collision,Other,1,0,0,1,0,0,0,2020-02-17 00:00:00+00:00,28.0,Dry
345,-122.290798,47.72094486,346,Block,35TH AVE NE BETWEEN NE 125TH ST AND NE 130TH S ST,2,Injury Collision,Pedestrian,2,1,0,1,1,0,0,2020-02-08 00:00:00+00:00,24.0,Dry
346,-122.2905855,47.53504207,347,Intersection,BEACON WR AVE S AND S WEBSTER S ST,1,Property Damage Only Collision,Angles,4,0,0,2,0,0,0,2020-02-14 00:00:00+00:00,11.0,Dry
352,-122.3341937,47.57139257,353,Intersection,1ST AVE S AND S SPOKANE SR ST,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,0,2020-02-11 00:00:00+00:00,11.0,Dry
353,,,354,Alley,,0,Unknown,,0,0,0,0,0,0,0,2020-02-18 00:00:00+00:00,0.0,
370,-122.3264443,47.61076544,371,Intersection,BOREN AVE AND SENECA ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2020-02-20 00:00:00+00:00,11.0,Dry
372,-122.3232755,47.70859413,373,Intersection,5TH AVE NE AND NE NORTHGATE WAY,2b,Serious Injury Collision,Pedestrian,2,1,0,1,1,1,0,2020-02-13 00:00:00+00:00,24.0,Wet
377,-122.2991671,47.57269888,378,Intersection,CHEASTY BLVD S AND S HINDS ST,2,Injury Collision,Angles,2,0,0,2,1,0,0,2020-02-20 00:00:00+00:00,11.0,Dry
381,-122.3305676,47.61860765,382,Block,STEWART ST BETWEEN DENNY WAY AND YALE AVE N,2b,Serious Injury Collision,Right Turn,2,0,0,2,1,1,0,2020-02-14 00:00:00+00:00,14.0,Dry
383,-122.2992331,47.71251584,384,Block,LAKE CITY WAY NE BETWEEN NE 115TH ST AND 27TH AVE NE,2,Injury Collision,Rear Ended,7,0,0,3,2,0,0,2020-02-13 00:00:00+00:00,14.0,Wet
398,-122.3661934,47.66292215,399,Intersection,8TH AVE NW AND NW 47TH ST,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2020-02-13 00:00:00+00:00,11.0,Dry
407,-122.3177178,47.70219571,408,Intersection,ROOSEVELT WAY NE AND NE 102ND ST,2,Injury Collision,Angles,3,0,0,2,1,0,0,2020-02-24 00:00:00+00:00,11.0,Dry
417,-122.3700598,47.6752701,418,Block,NW 64TH ST BETWEEN 9TH AVE NW AND 11TH AVE NW,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020-02-20 00:00:00+00:00,14.0,Dry
426,-122.3267875,47.61634184,427,Intersection,BELLEVUE AVE AND E OLIVE ST,2,Injury Collision,Left Turn,2,0,0,2,2,0,0,2020-02-12 00:00:00+00:00,11.0,Dry
428,-122.2684884,47.51610948,429,Block,RENTON AVE S BETWEEN S ROXBURY ST AND 52ND AVE S,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2020-02-21 00:00:00+00:00,11.0,Dry
433,,,434,Block,RAINIER AVE S BETWEEN CORNELL AVE S AND 75TH AVE S,2,Injury Collision,Rear Ended,2,0,0,2,1,0,0,2020-02-24 00:00:00+00:00,14.0,Dry
437,-122.2786714,47.51342931,438,Intersection,M L KING JR ER WAY S AND S NORFOLK ST,1,Property Damage Only Collision,Head On,2,0,0,2,0,0,0,2020-02-20 00:00:00+00:00,11.0,Dry
441,-122.3115375,47.60862008,442,Block,16TH AVE BETWEEN E CHERRY ST AND E COLUMBIA ST,0,Unknown,,0,0,0,0,0,0,0,2020-02-20 00:00:00+00:00,14.0,
446,-122.3289131,47.61346582,447,Intersection,BOREN AVE AND PIKE ST,2,Injury Collision,,2,0,0,0,1,0,0,2020-02-05 00:00:00+00:00,24.0,
447,-122.3120128,47.66052025,448,Block,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,2020-02-12 00:00:00+00:00,14.0,Unknown
453,-122.3435477,47.6275805,454,Block,AURORA AVE N BETWEEN ALOHA ST AND WARD ST,2,Injury Collision,Sideswipe,2,0,0,2,1,0,0,2020-02-11 00:00:00+00:00,11.0,Dry
456,-122.377607,47.66293748,457,Block,NW BALLARD WAY BETWEEN BALLARD BR ON RP AND BALLARD AVE NW,2,Injury Collision,Rear Ended,2,0,0,2,2,0,0,2020-02-15 00:00:00+00:00,14.0,Dry
465,-122.3195608,47.66222066,466,Block,8TH AVE NE BETWEEN NE 45TH E ST AND NE 47TH ST,1,Property Damage Only Collision,,2,0,0,0,0,0,0,2020-02-21 00:00:00+00:00,11.0,
467,-122.2788815,47.51516103,468,Block,M L KING JR ER WAY S BETWEEN MERTON WAY S AND S NORFOLK ST,1,Property Damage Only Collision,Rear Ended,4,0,0,3,0,0,0,2020-02-23 00:00:00+00:00,14.0,Wet
470,-122.3748967,47.65125644,471,Block,14TH AVE W BETWEEN W BERTONA ST AND W RUFFNER ST,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2020-02-18 00:00:00+00:00,14.0,Dry
471,-122.3325194,47.6023056,472,Intersection,2ND AVE AND JAMES ST,1,Property Damage Only Collision,,2,0,0,0,0,0,0,2020-02-07 00:00:00+00:00,11.0,
478,-122.3025748,47.61801925,479,Block,23RD AVE BETWEEN E OLIVE N ST AND E DENNY WAY,2,Injury Collision,Pedestrian,2,1,0,1,1,0,0,2020-02-10 00:00:00+00:00,24.0,Dry
484,-122.3763849,47.54741352,485,Block,35TH AVE SW BETWEEN SW RAYMOND ST AND SW GRAHAM ST,2,Injury Collision,Rear Ended,3,0,0,2,1,0,0,2020-02-11 00:00:00+00:00,14.0,Dry
487,-122.3114204,47.61909533,488,Block,16TH AVE E BETWEEN E DENNY WAY AND E JOHN ST,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020-02-11 00:00:00+00:00,11.0,Dry
488,-122.3006638,47.67940903,489,Intersection,25TH AVE NE AND NE 70TH ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2020-02-24 00:00:00+00:00,11.0,Dry
493,-122.3467224,47.612326,494,Block,WESTERN AVE BETWEEN BLANCHARD ST AND BELL ST,2,Injury Collision,Sideswipe,2,0,0,2,1,0,0,2020-02-18 00:00:00+00:00,11.0,Dry
503,-122.3544109,47.63486444,504,Intersection,BLAINE ST AND WARREN AVE N,2,Injury Collision,Angles,2,0,0,2,1,0,0,2020-02-07 00:00:00+00:00,11.0,Dry
511,-122.3125905,47.62526038,512,Intersection,15TH AVE E AND E ROY ST,2,Injury Collision,Pedestrian,2,1,0,1,1,0,0,2020-02-13 00:00:00+00:00,24.0,Wet
514,-122.335574,47.6106779,515,Intersection,5TH AVE AND PIKE ST,2,Injury Collision,Angles,2,0,0,2,2,0,0,2020-02-15 00:00:00+00:00,11.0,Wet
520,-122.3500204,47.61218693,521,Block,ALASKAN WAY BETWEEN XW BELL ST AND WALL ST,1,Property Damage Only Collision,,2,0,0,0,0,0,0,2020-02-20 00:00:00+00:00,11.0,
523,-122.3581341,47.5210303,524,Block,SW BARTON ST BETWEEN 18TH AVE SW AND DELRIDGE WAY SW,1,Property Damage Only Collision,Parked Car,3,0,0,3,0,0,0,2020-02-19 00:00:00+00:00,14.0,Dry
533,-122.3423767,47.62147207,534,Block,DEXTER AVE N BETWEEN THOMAS ST AND HARRISON ST,2b,Serious Injury Collision,Cycles,2,0,2,0,1,1,0,2020-02-11 00:00:00+00:00,58.0,Dry
550,-122.3956838,47.67588424,551,Intersection,30TH AVE NW AND NW 65TH ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2020-02-15 00:00:00+00:00,11.0,Dry
551,-122.3567027,47.62545416,552,Intersection,QUEEN ANNE AVE N AND ROY ST,2,Injury Collision,Sideswipe,2,0,0,2,1,0,0,2020-02-18 00:00:00+00:00,14.0,Dry
556,-122.3141971,47.60268128,557,Intersection,14TH AVE AND E FIR ST,1,Property Damage Only Collision,Angles,3,0,0,2,0,0,0,2020-02-08 00:00:00+00:00,11.0,Dry
564,-122.3353207,47.61852163,565,Intersection,BOREN AVE AND DENNY WAY,2,Injury Collision,Pedestrian,2,1,0,1,1,0,0,2020-02-13 00:00:00+00:00,24.0,Dry
566,-122.3319657,47.60253667,567,Block,JAMES ST BETWEEN 2ND AVE AND 3RD AVE,1,Property Damage Only Collision,Head On,2,0,0,2,0,0,0,2020-02-07 00:00:00+00:00,11.0,Wet
572,-122.3871855,47.55908121,573,Block,ERSKINE WAY SW BETWEEN CALIFORNIA AVE SW AND LEWIS PL SW,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2020-02-19 00:00:00+00:00,11.0,Dry
575,-122.33848,47.6191185,576,Block,WESTLAKE AVE N BETWEEN DENNY WAY AND JOHN ST,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2020-02-12 00:00:00+00:00,14.0,Dry
577,-122.3013005,47.58759608,578,Block,24TH AVE S BETWEEN S MASSACHUSETTS ST AND S GRAND ST,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020-02-01 00:00:00+00:00,11.0,Dry
578,-122.3072316,47.66215291,579,Block,19TH AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,1,Property Damage Only Collision,Sideswipe,2,0,0,2,0,0,0,2020-02-21 00:00:00+00:00,14.0,Dry
601,-122.3289131,47.61346582,602,Intersection,BOREN AVE AND PIKE ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2020-02-24 00:00:00+00:00,11.0,Dry
603,-122.3631962,47.53278887,604,Block,24TH AVE SW BETWEEN SW HOLDEN ST AND SW KENYON ST,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020-02-21 00:00:00+00:00,14.0,Dry
607,-122.3151907,47.66899751,608,Block,12TH AVE NE BETWEEN NE 55TH ST AND NE 56TH ST,1,Property Damage Only Collision,Parked Car,2,0,0,2,0,0,0,2020-02-08 00:00:00+00:00,14.0,Dry
608,-122.339088,47.62454826,609,Block,MERCER SR ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,2020-02-22 00:00:00+00:00,14.0,Dry
613,-122.2778702,47.55155082,614,Block,RAINIER AVE S BETWEEN S FINDLAY ST AND S ORCAS ST,1,Property Damage Only Collision,Rear Ended,2,0,0,2,0,0,0,2020-02-22 00:00:00+00:00,14.0,Dry
616,-122.3768044,47.69151793,617,Block,15TH AVE NW BETWEEN NW 85TH ST AND NW 87TH ST,1,Property Damage Only Collision,Angles,2,0,0,2,0,0,0,2020-02-12 00:00:00+00:00,11.0,Dry
622,-122.382425,47.5502344,623,Intersection,FAUNTLEROY WAY SW AND SW JUNEAU ST,2,Injury Collision,,2,0,0,0,1,0,0,2020-02-18 00:00:00+00:00,14.0,
625,-122.347575,47.62390182,626,Block,5TH AVE N BETWEEN REPUBLICAN ST AND MERCER ST,1,Property Damage Only Collision,,2,0,0,0,0,0,0,2020-02-20 00:00:00+00:00,14.0,
627,-122.3606519,47.62137326,628,Block,3RD AVE W BETWEEN W THOMAS ST AND W THOMAS ST OVERPASS,0,Unknown,,0,0,0,0,0,0,0,2020-02-21 00:00:00+00:00,11.0,
631,-122.3121547,47.69397824,632,Intersection,15TH AVE NE AND NE 90TH ST,2,Injury Collision,Angles,4,0,0,3,1,0,0,2020-02-06 00:00:00+00:00,11.0,Wet
632,-122.2931937,47.72289907,633,Intersection,LAKE CITY WAY NE AND NE 130TH ST,2,Injury Collision,Angles,2,0,0,2,1,0,0,2020-02-17 00:00:00+00:00,11.0,Dry
